remark,"CSV-Import-Export"
remark,"Date = Thu Mar 21 13:57:12 2019"
remark,"Version = RSLogix 5000 v30.01"
remark,"Owner = Windows User"
remark,"Company = Brock Solutions"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,AM_Adapter:C,"","AB:ETHERNET_MODULE:C:0","","(ExternalAccess := Read/Write)"
TAG,,AM_Adapter:I,"","AB:ETHERNET_MODULE_INT_80Bytes:I:0","","(ExternalAccess := Read/Write)"
TAG,,AM_Adapter:O,"","AB:ETHERNET_MODULE_INT_80Bytes:O:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:10:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:10:I,"","","MCP_03_RK2_S0:I.Slot[10]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:10:O,"","","MCP_03_RK2_S0:O.Slot[10]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:1:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:1:I,"","","MCP_03_RK2_S0:I.Slot[1]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:1:O,"","","MCP_03_RK2_S0:O.Slot[1]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:2:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:2:I,"","","MCP_03_RK2_S0:I.Slot[2]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:2:O,"","","MCP_03_RK2_S0:O.Slot[2]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:3:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:3:I,"","","MCP_03_RK2_S0:I.Slot[3]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:3:O,"","","MCP_03_RK2_S0:O.Slot[3]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:4:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:4:I,"","","MCP_03_RK2_S0:I.Slot[4]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:4:O,"","","MCP_03_RK2_S0:O.Slot[4]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:5:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:5:I,"","","MCP_03_RK2_S0:I.Slot[5]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:5:O,"","","MCP_03_RK2_S0:O.Slot[5]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:6:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:6:I,"","","MCP_03_RK2_S0:I.Slot[6]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:6:O,"","","MCP_03_RK2_S0:O.Slot[6]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:7:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:7:I,"","","MCP_03_RK2_S0:I.Slot[7]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:7:O,"","","MCP_03_RK2_S0:O.Slot[7]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:8:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:8:I,"","","MCP_03_RK2_S0:I.Slot[8]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:8:O,"","","MCP_03_RK2_S0:O.Slot[8]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:9:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:9:I,"","","MCP_03_RK2_S0:I.Slot[9]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_03_RK2_S0:9:O,"","","MCP_03_RK2_S0:O.Slot[9]","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:I,"","AB:1756_CNB_17SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_03_RK2_S0:O,"","AB:1756_CNB_17SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:10:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:10:I,"","","MCP_BM1_RK2_S0:I.Slot[10]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:11:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:11:I,"","","MCP_BM1_RK2_S0:I.Slot[11]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:12:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:12:I,"","","MCP_BM1_RK2_S0:I.Slot[12]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:13:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:13:I,"","","MCP_BM1_RK2_S0:I.Slot[13]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:14:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:14:I,"","","MCP_BM1_RK2_S0:I.Slot[14]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:14:O,"","","MCP_BM1_RK2_S0:O.Slot[14]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:15:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:15:I,"","","MCP_BM1_RK2_S0:I.Slot[15]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:15:O,"","","MCP_BM1_RK2_S0:O.Slot[15]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:1:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:1:I,"","","MCP_BM1_RK2_S0:I.Slot[1]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:1:O,"","","MCP_BM1_RK2_S0:O.Slot[1]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:2:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:2:I,"","","MCP_BM1_RK2_S0:I.Slot[2]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:2:O,"","","MCP_BM1_RK2_S0:O.Slot[2]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:3:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:3:I,"","","MCP_BM1_RK2_S0:I.Slot[3]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:3:O,"","","MCP_BM1_RK2_S0:O.Slot[3]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:4:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:4:I,"","","MCP_BM1_RK2_S0:I.Slot[4]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:4:O,"","","MCP_BM1_RK2_S0:O.Slot[4]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:5:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:5:I,"","","MCP_BM1_RK2_S0:I.Slot[5]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:5:O,"","","MCP_BM1_RK2_S0:O.Slot[5]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:6:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:6:I,"","","MCP_BM1_RK2_S0:I.Slot[6]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:6:O,"","","MCP_BM1_RK2_S0:O.Slot[6]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:7:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:7:I,"","","MCP_BM1_RK2_S0:I.Slot[7]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:7:O,"","","MCP_BM1_RK2_S0:O.Slot[7]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:8:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:8:I,"","","MCP_BM1_RK2_S0:I.Slot[8]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:8:O,"","","MCP_BM1_RK2_S0:O.Slot[8]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:9:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:9:I,"","","MCP_BM1_RK2_S0:I.Slot[9]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK2_S0:9:O,"","","MCP_BM1_RK2_S0:O.Slot[9]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:I,"","AB:1756_CNB_17SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK2_S0:O,"","AB:1756_CNB_17SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:10:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:10:I,"","","MCP_01_RK1_S0:I.Slot[10]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:10:O,"","","MCP_01_RK1_S0:O.Slot[10]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:11:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:11:I,"","","MCP_01_RK1_S0:I.Slot[11]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:11:O,"","","MCP_01_RK1_S0:O.Slot[11]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:1:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:1:I,"","","MCP_01_RK1_S0:I.Slot[1]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:2:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:2:I,"","","MCP_01_RK1_S0:I.Slot[2]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:2:O,"","","MCP_01_RK1_S0:O.Slot[2]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:3:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:3:I,"","","MCP_01_RK1_S0:I.Slot[3]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:3:O,"","","MCP_01_RK1_S0:O.Slot[3]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:4:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:4:I,"","","MCP_01_RK1_S0:I.Slot[4]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:5:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:5:I,"","","MCP_01_RK1_S0:I.Slot[5]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:6:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:6:I,"","","MCP_01_RK1_S0:I.Slot[6]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:7:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:7:I,"","","MCP_01_RK1_S0:I.Slot[7]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:8:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:8:I,"","","MCP_01_RK1_S0:I.Slot[8]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:8:O,"","","MCP_01_RK1_S0:O.Slot[8]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:9:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:9:I,"","","MCP_01_RK1_S0:I.Slot[9]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_01_RK1_S0:9:O,"","","MCP_01_RK1_S0:O.Slot[9]","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:I,"","AB:1756_CNB_17SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_01_RK1_S0:O,"","AB:1756_CNB_17SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:10:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:10:I,"","","MCP_BM1_RK1_S16:I.Slot[10]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:11:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:11:I,"","","MCP_BM1_RK1_S16:I.Slot[11]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:12:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:12:I,"","","MCP_BM1_RK1_S16:I.Slot[12]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:13:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:13:I,"","","MCP_BM1_RK1_S16:I.Slot[13]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:14:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:14:I,"","","MCP_BM1_RK1_S16:I.Slot[14]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:14:O,"","","MCP_BM1_RK1_S16:O.Slot[14]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:1:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:1:I,"","","MCP_BM1_RK1_S16:I.Slot[1]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:2:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:2:I,"","","MCP_BM1_RK1_S16:I.Slot[2]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:3:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:3:I,"","","MCP_BM1_RK1_S16:I.Slot[3]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:4:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:4:I,"","","MCP_BM1_RK1_S16:I.Slot[4]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:5:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:5:I,"","","MCP_BM1_RK1_S16:I.Slot[5]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:6:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:6:I,"","","MCP_BM1_RK1_S16:I.Slot[6]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:7:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:7:I,"","","MCP_BM1_RK1_S16:I.Slot[7]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:8:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:8:I,"","","MCP_BM1_RK1_S16:I.Slot[8]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:9:C,"","AB:1756_DI:C:1","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_BM1_RK1_S16:9:I,"","","MCP_BM1_RK1_S16:I.Slot[9]","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:I,"","AB:1756_CNB_17SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_BM1_RK1_S16:O,"","AB:1756_CNB_17SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,MCP_02_RK2_S0:1:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_02_RK2_S0:1:I,"","","MCP_02_RK2_S0:I.Slot[1]","(ExternalAccess := Read/Write)"
ALIAS,,MCP_02_RK2_S0:1:O,"","","MCP_02_RK2_S0:O.Slot[1]","(ExternalAccess := Read/Write)"
TAG,,MCP_02_RK2_S0:2:C,"","AB:1756_DO:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,MCP_02_RK2_S0:2:I,"","","MCP_02_RK2_S0:I.Slot[2]","(ExternalAccess := Read/Write)"
